Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Stimulus_Identity,Evaluative_Measures_Order,IAT_Block_Order,US_Stimuli_Identity,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,CS_Color_Contingency_CS1,CS_Color_Contingency_CS2,CS_Color_Contingency_CS1_Recoded,CS_Color_Contingency_CS2_Recoded,CS_Color_Contingency_Total,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS2,Color_Awareness_response,COLOR0,Color_Awareness_recoded,Influence_Awareness_response,INFLU0,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT
15,NA,19,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.93,NA,I would try Morag                                                                                   ,                                                                                                    ,3,3,3,3,-3,-3,-3,-3,3,-3,6,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,"For Morag, the pleasent word changed color. STRUAN the negative word changed                                                                                                                                                                                   ",                                        ,1,I associated pleasent words with MORAG and negative with STRUAN                                                                                                                                                                                                ,                                         ,1,No            ,No            ,No            ,No            
27,NA,28,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.94,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-3,-2,-2,-2,4,4,4,4,-2.25,4,-6.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            
29,NA,21,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,1.2,NA,I would try Struan                                                                                  ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Posotive words always were associated with MORAG while negative ones were always highlighted while STRUAN was on the screen.                                                                                                                                   ,                                        ,1,"No, I barely noticed. I would say the fact that they changed color was more interesting than the actual color.                                                                                                                                                 ",                                         ,0,Yes           ,No            ,No            ,No            
32,NA,30,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.13,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,3,3,3,3,3,3,3,3,3,3,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No influence. I just tried to remember which was associated with good and which with bad.                                                                                                                                                                      ,                                         ,0,Yes           ,Yes           ,Yes           ,Yes           
37,NA,35,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.83,NA,I would try Morag                                                                                   ,                                                                                                    ,2,3,2,3,-3,-3,-2,-3,2.5,-2.75,5.25,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            
38,NA,22,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.16,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,I don’t know,No            
41,NA,22,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.3,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-4,-3,-4,-3,4,3,4,3,-3.5,3.5,-7,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,"yes. morag's color was the same as the other ""bad"" word whereas struan's color was the same as the other ""good"" word                                                                                                                                           ",                                        ,1,"no the color i feel like didnt influence the like, it made me remember better                                                                                                                                                                                  ",                                         ,0,No            ,No            ,No            ,No            
42,NA,21,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-1.2,NA,I would try neither Brand                                                                           ,                                                                                                    ,-4,-5,-1,-5,5,5,4,2,-3.75,4,-7.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,Yes           ,Yes           ,No            
44,NA,18,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-1.15,NA,I would try Struan                                                                                  ,                                                                                                    ,-4,-4,-4,-4,4,4,4,4,-4,4,-8,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            
46,NA,37,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.57,NA,I would try neither Brand                                                                           ,                                                                                                    ,-1,-1,-2,-1,2,1,2,2,-1.25,1.75,-3,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,One word always had a positive meaning and the other had a negative meaning                         ,Yes                                                                                                                                                                                                                                                            ,                                        ,1,"At first, it didn't influence me but because of the repetition I began to connect the negative/positive words with how much I liked/disliked the words.                                                                                                        ",                                         ,1,No            ,I don’t know,I don’t know,Yes           
